species_wfo,p50
Abies alba,-3.716
Abies balsamea,-2.465482
Abies concolor,-3.8712133333333334
Abies forrestii,-3.42
Abies grandis,-3.65
Abies lasiocarpa,-3.4917777777777776
Abies nordmanniana,-4
Abies pinsapo,-4.15
Abies sachalinensis,-3.23
Abies sibirica,-3.67
Acacia aneura,-10.635908
Acacia cyclops,-1.35
Acca sellowiana,-4.81
Acer barbinerve,-2.23
Acer campestre,-4.485
Acer glabrum,-2.29
Acer mandshuricum,-3.17
Acer monspessulanum,-5.145
Acer negundo,-2.025
Acer opalus,-3.4250000000000003
Acer pictum,-4.339809523809524
Acer platanoides,-3.4033333333333333
Acer pseudoplatanus,-2.94875
Acer pseudosieboldianum,-2.54
Acer rubrum,-2.736
Acer saccharum,-2.9337142857142857
Acer tataricum,-2.76
Acer tegmentosum,-1.61
Acinodendron pohlianum,-3.1
Acmopyle pancheri,-3.34225
Actinostrobus acuminatus,-11.52
Actinostrobus arenarius,-12.87025
Actinostrobus pyramidalis,-11.426666666666666
Adenostoma fasciculatum,-6.9165849999999995
Adenostoma sparsifolium,-4.68
Adesmia boronioides,-4.42
Adiscanthus fusciflorus,-1.08122
Afrocarpus falcatus,-7.48
Afrocarpus gracilior,-6.36
Agathis atropurpurea,-2.89
Agathis australis,-2.5556666966666666
Agathis microstachya,-2.55
Agathis ovata,-1.77
Agathis robusta,-3.13
Ailanthus altissima,-3.5733333333333333
Alchemilla vulgaris,-2.12
Alnus alnobetula,-1.447
Alnus cordata,-1.5899999999999999
Alnus glutinosa,-1.7666666666666668
Alnus incana,-1.3565
Alnus japonica,-1.66
Alnus rhombifolia,-1.25136
Alopecurus pratensis,-3.3
Alphitonia excelsa,-5.56
Alseis blackiana,-3.5296937
Amborella trichopoda,-2.7933333333333334
Amburana cearensis,-2.42
Amelanchier ovalis,-6.87
Amphirrhox longifolia,-2.2533333333333334
Amygdalus davidiana,-3.283333333333333
Anacardium excelsum,-1.1
Anadenanthera colubrina,-4.22
Angophora costata,-3.6294575
Annona hayesii,-4.52
Annona spraguei,-2.4426427
Anthoxanthum odoratum,-4.4
Apoplanesia paniculata,-3.90164
Arabidopsis thaliana,-2.6957142857142857
Araucaria angustifolia,-2.33
Araucaria araucana,-3.06
Araucaria bidwillii,-3.01
Araucaria columnaris,-3.3
Araucaria cunninghamii,-2.64
Araucaria heterophylla,-2.965
Araucaria hunsteinii,-3.5233333333333334
Araucaria laubenfelsii,-2.4
Arbutus menziesii,-3
Arbutus unedo,-7.84
Arctostaphylos glandulosa,-4.7
Arctostaphylos glauca,-9.22
Ardisia quinquegona,-1.56
Argyranthemum adauctum,-3.6
Argyranthemum broussonetii,-3.1
Argyranthemum foeniculaceum,-5.1
Argyranthemum frutescens,-3.7
Argyranthemum gracile,-4
Aristotelia serrata,-2.384736389777778
Arrhenatherum elatius,-3.8
Artemisia tridentata,-3.9333333333333336
Artemisia wudanica,-1.12
Ascarina lucida,-1.855517855
Ascarina rubricaulis,-2.425666666666667
Ascarina solmsiana,-2.634
Aspidosperma araracanga,-3.09474
Aspidosperma desmanthum,-1.69092
Aspidosperma nitidum,-1.84807
Aspidosperma pyrifolium,-2.52
Astronium graveolens,-4.37
Atherosperma moschatum,-3.31
Athrotaxis cupressoides,-3.16
Athrotaxis x laxifolia,-2.47
Atriplex confertifolia,-4.25
Austrocedrus chilensis,-4.96
Balfourodendron riedelianum,-1.3433333333333333
Banksia attenuata,-2.69
Banksia ilicifolia,-2.84
Banksia menziesii,-3.24
Banksia serrata,-3.485
Barringtonia racemosa,-1.36
Bauhinia galpinii,-0.98
Bauhinia reflexa,-2.102105
Bauhinia variegata,-1.55
Berberis microphylla,-4.5
Bernardia myricifolia,-6.13
Betula costata,-1.42
Betula dahurica,-1.46
Betula fruticosa,-1.19
Betula nigra,-2.05715
Betula occidentalis,-1.70475
Betula papyrifera,-1.9665000000000001
Betula pendula,-1.8172222222222223
Betula platyphylla,-1.37
Betula schmidtii,-1.37
Bignonia corymbosa,-1.1025164
Blepharocalyx salicifolius,-2.03
Bocoa prouacensis,-2.8666666666666667
Brabejum stellatifolium,-2.4266666666666667
Brachychiton australis,-3.17
Brachylaena neriifolia,-2.07
Brachypodium pinnatum,-6.2
Brachystegia boehmii,-3.6277
Brachystegia floribunda,-1.9743
Brachystegia longifolia,-2.2854
Brachystegia spiciformis,-3.124
Brosimum utile,-2.2476243
Bursera simaruba,-1.145
Buxus sempervirens,-8
Caesalpinia coriaria,-6.20325
Caesalpinia eriostachys,-8.97143
Callichlamys latifolia,-1.012439
Callitris baileyi,-11.37
Callitris canescens,-16.9
Callitris columellaris,-14.532727272727273
Callitris drummondii,-13.11
Callitris endlicheri,-12.5
Callitris macleayana,-8.07
Callitris monticola,-8.84
Callitris muelleri,-10.1
Callitris neocaledonica,-3.83
Callitris oblonga,-10.88
Callitris preissii,-15.071818181818182
Callitris rhomboidea,-10.261116666666666
