uniqueID,lat,long,XFT database,Group,Family,Genus,Species,class_gbif,order_gbif,family_gbif,binomial_gnr,genus_gnr,species_gnr,subsp/var/f/hybrid/mutant,subsp. Name,Plant organ,Developmental stage,Growth form,N / G,"Mega-, meso-, micro-, 4",Height max (m),Height actual (m),DBH (cm),Year,Month(s),Day,Hemisphere,P50,P50 number of samples,P50 SD,P50 SE,P12,P88,Curve,Equation,P50 method,Ks (kg m-1 MPa-1 s-1),"Ks SE (standard error, kg m-1 MPa-1 s-1)",KL (kg m-1 MPa-1 s-1),"KL SE (standard error, kg m-1 MPa-1 s-1)",psi-min predawn (MPa),SE psi-min predawn (MPa),psi- min midday (MPa),SE psi-min midday (MPa),Huber value (m2 m-2),Leaf to sapwood area ratio (m2 m-2),Sapwood capacitance (kg m-3 MPa-1),Av. tracheid length (?m),Av. vessel length (cm),Vessel length method,Max vessel length (cm),Av. conduit diameter (?m),dh mean hydraulic diameter (?m),Conduit density per mm2,Vessel grouping index,Ac (intervessel contact fraction),Intervessel pit membrane surface area (µm2),Interconduit pit diameter (?m),Outer pit aperture diameter (?m),Aperture/pit size,Pit membrane thickness (nm),Torus diameter (um),Torus overlap,Vestured pits,Fp (pit fraction),Ap (interconduit pit (membrane) area mm2),Porosity,Perforation plates,Ground tissue,Vasicentric tracheids,MOR (MPa),EI (N m2),MOE (MPa),t (interconduit cell wall thickness; um),(t/b)2,d (g/cm3),SLA (cm2 g-1),LMA (g m-2),Leaf size (cm2),K_leaf_max,Total stomata density,Stomatal index,Gs (mol m-2 s-1),Gsmin (mol m-2 s-1),Gcut (mol m-2 s-1),Phenology,Amax (micromol/m2/s),d13C,TLP (MPa),Location,Country,Altitude (m),Altitude provenance (m),Soil density (kg/m?),Sand (%),Clay (%),Silt (%) (= 100% - % clay - % sand),Short reference (authors year),Reference - DOI number,Contributor I name,Contributor II name = ROW DOUBLE-CHECKED,Notes
1,41.31667,1,2013-2020 period,gymnosperm,Pinaceae,Pinus,sylvestris,Pinopsida,Pinales,Pinaceae,Pinus sylvestris,Pinus,sylvestris,,,S,A,T,N,1,30,14.8,,,,,,-2.683592,,,0.19658715,-0.865264054,-4.501919946,S,PW,AD,0.515692449,,0.005235752,,-2.2,,-2.5,,0.0026852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,31.31,,,,,,0.14,0.003,,E,12.1,-18.9,,Prades,Spain,990,,,,,,AguadŽ et al. 2015,10.1093/treephys/tpv005,Poyatos,Rafael Oliveira,"Values for non-defoliated trees. Main hydraulic data from Fig. 4, Table 2. Psi_min, Delta13C from Poyatos 2013, NewPhy, 200, 388-401. Gmax, Gmin, Amax from Salmon et al 2015, PCE 38, 2575-2588."
2,41.31667,1,2013-2020 period,gymnosperm,Pinaceae,Pinus,sylvestris,Pinopsida,Pinales,Pinaceae,Pinus sylvestris,Pinus,sylvestris,,,R,A,T,N,1,30,14.8,,,,,,-2.039438,,,0.15130478,0.015840778,-4.094716778,S,PW,AD,0.623600886,,0.005235752,,-2.2,,-2.5,,0.0026852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,31.31,,,,,,0.14,0.004,,E,12.1,-18.9,,Prades,Spain,990,,,,,,AguadŽ et al. 2015,10.1093/treephys/tpv005,Poyatos,Rafael Oliveira,"Values for non-defoliated trees. Main hydraulic data from Fig. 4, Table 2. Psi_min, Delta13C from Poyatos 2013, NewPhy, 200, 388-401. Gmax, Gmin, Amax from Salmon et al 2015, PCE 38, 2575-2588."
3,41.31667,1,2013-2020 period,gymnosperm,Pinaceae,Pinus,sylvestris,Pinopsida,Pinales,Pinaceae,Pinus sylvestris,Pinus,sylvestris,,,S,A,T,N,1,30,13.4,,,,,,-3.047262,,,0.20190557,-1.20901792,-4.88550608,S,PW,AD,0.510561223,,0.000783104,,-2.2,,-2.5,,0.001294022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,33.8,,,,,,0.42,0.003,,E,11.7,-19.21,,Prades,Spain,990,,,,,,AguadŽ et al. 2015,10.1093/treephys/tpv005,Poyatos,Rafael Oliveira,"Values for (drought-related) defoliated trees. Main hydraulic data from Fig. 4, Table 2. Psi_min, Delta13C from Poyatos 2013, NewPhy, 200, 388-401. Gmax, Gmin, Amax from Salmon et al 2015, PCE 38, 2575-2588."
4,41.31667,1,2013-2020 period,gymnosperm,Pinaceae,Pinus,sylvestris,Pinopsida,Pinales,Pinaceae,Pinus sylvestris,Pinus,sylvestris,,,R,A,T,N,1,30,13.4,,,,,,-1.951988,,,0.09824287,-0.987557917,-2.916418083,S,PW,AD,0.203468369,,0.000783104,,-2.2,,-2.5,,0.001294022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,33.8,,,,,,0.42,0.004,,E,11.7,-19.21,,Prades,Spain,990,,,,,,AguadŽ et al. 2015,10.1093/treephys/tpv005,Poyatos,Rafael Oliveira,"Values for (drought-related) defoliated trees. Main hydraulic data from Fig. 4, Table 2. Psi_min, Delta13C from Poyatos 2013, NewPhy, 200, 388-401. Gmax, Gmin, Amax from Salmon et al 2015, PCE 38, 2575-2588."
5,20,-100.9666667,2013-2020 period,angiosperm,Fagaceae,Quercus,deserticola,Magnoliopsida,Fagales,Fagaceae,Quercus deserticola,Quercus,deserticola,,,S,A,T,N,,,,13.9,"2013, 2014","August 2013, April 2014, June","31 August 2013, 25 April 2014, beginning rainy season",N,-0.51,15,,,,,S,W,DH,,,,,,,,,0.00313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.627,,,,,,,,,,D,,,,"Lake Cuitzeo basin, between the Michoac‡n and Guanajuato states",Mexico,2038,,,,,,Aguilar-Romero et al. 2017,10.1093/treephys/tpx033,Adriano Losso,Rosana L—pez,Most of the raw data are not given. Values extracted from very low quality graphs.
6,20,-100.9333333,2013-2020 period,angiosperm,Fagaceae,Quercus,gentryi,Magnoliopsida,Fagales,Fagaceae,Quercus gentryi,Quercus,gentryi,,,S,A,T,N,,,,13.9,"2013, 2014","August 2013, April 2014, June",,N,-0.56,15,,,,,S,W,DH,,,,,,,,,0.00322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.617,,,,,,,,,,D,,,,"Lake Cuitzeo basin, between the Michoac‡n and Guanajuato states",Mexico,2321,,,,,,Aguilar-Romero et al. 2017,10.1093/treephys/tpx033,Adriano Losso,Rosana L—pez,Most of the raw data are not given. Values extracted from very low quality graphs.
7,19.71666667,-101.4166667,2013-2020 period,angiosperm,Fagaceae,Quercus,glaucoides,Magnoliopsida,Fagales,Fagaceae,Quercus glaucoides,Quercus,glaucoides,,,S,A,T,N,,,,13.9,"2013, 2014","August 2013, April 2014, June",,N,-0.68,15,,,,,S,W,DH,,,,,,,,,0.00273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,,,,,,,,,,D,,,,"Lake Cuitzeo basin, between the Michoac‡n and Guanajuato states",Mexico,2308,,,,,,Aguilar-Romero et al. 2017,10.1093/treephys/tpx033,Adriano Losso,Rosana L—pez,Most of the raw data are not given. Values extracted from very low quality graphs.
8,19.61666667,-101.1666667,2013-2020 period,angiosperm,Fagaceae,Quercus,magnolifolia,Magnoliopsida,Fagales,Fagaceae,Quercus magnoliifolia,Quercus,magnoliifolia,,,S,A,T,N,,,,13.9,"2013, 2014","August 2013, April 2014, June",,N,-0.46,15,,,,,S,W,DH,,,,,,,,,0.00211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.567,,,,,,,,,,D,,,,"Lake Cuitzeo basin, between the Michoac‡n and Guanajuato states",Mexico,2391,,,,,,Aguilar-Romero et al. 2017,10.1093/treephys/tpx033,Adriano Losso,Rosana L—pez,Most of the raw data are not given. Values extracted from very low quality graphs.
9,19.71666667,-101.3666667,2013-2020 period,angiosperm,Fagaceae,Quercus,candicans,Magnoliopsida,Fagales,Fagaceae,Quercus candicans,Quercus,candicans,,,S,A,T,N,,,,13.9,"2013, 2014","August 2013, April 2014, June",,N,-1.1,15,,,,,S,W,DH,,,,,,,,,0.00255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.604,,,,,,,,,,E,,,,"Lake Cuitzeo basin, between the Michoac‡n and Guanajuato states",Mexico,2160,,,,,,Aguilar-Romero et al. 2017,10.1093/treephys/tpx033,Adriano Losso,Rosana L—pez,Most of the raw data are not given. Values extracted from very low quality graphs.
10,19.6,-101.25,2013-2020 period,angiosperm,Fagaceae,Quercus,castanea,Magnoliopsida,Fagales,Fagaceae,Quercus castanea,Quercus,castanea,,,S,A,T,N,,,,13.9,"2013, 2014","August 2013, April 2014, June",,N,-0.72,15,,,,,S,W,DH,,,,,,,,,0.00319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.628,,,,,,,,,,E,,,,"Lake Cuitzeo basin, between the Michoac‡n and Guanajuato states",Mexico,2036,,,,,,Aguilar-Romero et al. 2017,10.1093/treephys/tpx033,Adriano Losso,Rosana L—pez,Most of the raw data are not given. Values extracted from very low quality graphs.
11,19.63333333,-101.4,2013-2020 period,angiosperm,Fagaceae,Quercus,crassipes,Magnoliopsida,Fagales,Fagaceae,Quercus crassipes,Quercus,crassipes,,,S,A,T,N,,,,13.9,"2013, 2014","August 2013, April 2014, June",,N,-0.41,15,,,,,S,W,DH,,,,,,,,,0.0052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,,,,,E,,,,"Lake Cuitzeo basin, between the Michoac‡n and Guanajuato states",Mexico,2391,,,,,,Aguilar-Romero et al. 2017,10.1093/treephys/tpx033,Adriano Losso,Rosana L—pez,Most of the raw data are not given. Values extracted from very low quality graphs.
12,19.61666667,-101.4,2013-2020 period,angiosperm,Fagaceae,Quercus,laeta,Magnoliopsida,Fagales,Fagaceae,Quercus laeta,Quercus,laeta,,,S,A,T,N,,,,13.9,"2013, 2014","August 2013, April 2014, June",,N,-0.5,15,,,,,S,W,DH,,,,,,,,,0.00141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.601,,,,,,,,,,E,,,,"Lake Cuitzeo basin, between the Michoac‡n and Guanajuato states",Mexico,2404,,,,,,Aguilar-Romero et al. 2017,10.1093/treephys/tpx033,Adriano Losso,Rosana L—pez,Most of the raw data are not given. Values extracted from very low quality graphs.
13,19.46666667,-101.5,2013-2020 period,angiosperm,Fagaceae,Quercus,rugosa,Magnoliopsida,Fagales,Fagaceae,Quercus rugosa,Quercus,rugosa,,,S,A,T,N,,,,13.9,"2013, 2014","August 2013, April 2014, June",,N,-0.62,15,,,,,S,W,DH,,,,,,,,,0.00273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.638,,,,,,,,,,E,,,,"Lake Cuitzeo basin, between the Michoac‡n and Guanajuato states",Mexico,2512,,,,,,Aguilar-Romero et al. 2017,10.1093/treephys/tpx033,Adriano Losso,Rosana L—pez,Most of the raw data are not given. Values extracted from very low quality graphs.
14,44.802016,-0.608872,2013-2020 period,angiosperm,Asteraceae,Helianthus,annuus,Magnoliopsida,Asterales,Asteraceae,Helianthus annuus,Helianthus,annuus,Melody,,S,A,F,E,4,,0.95,,,,,,-3.09,16,0.48,,-2.19,-3.99,S,PW,CA,0.16,0.09,,,,,,,,,,,,,,,43.5652683,0.102667,,,,,,,,,,,,,,,,,,,,4.012210868,0.012504,,,,,,,,,,,W,,,,Bordeaux,France,,,,,,,Ahmad et al. 2018,10.1111/ppl.12654,Laurent Lamarque,Uri Hochberg,slope from PW equation; anatomy and mechanical properties data are for secondary xylem
15,44.802016,-0.608872,2013-2020 period,angiosperm,Asteraceae,Helianthus,annuus,Magnoliopsida,Asterales,Asteraceae,Helianthus annuus,Helianthus,annuus,LG_5660,,S,A,F,E,4,,0.91,,,,,,-2.67,17,0.66,,-2.18,-3.14,S,PW,CA,0.14,0.08,,,,,,,,,,,,,,,39.05345844,0.084476,,,,,,,,,,,,,,,,,,,,4.002583463,0.016265,,,,,,,,,,,W,,,,Bordeaux,France,,,,,,,Ahmad et al. 2018,10.1111/ppl.12654,Laurent Lamarque,Uri Hochberg ,slope from PW equation
16,44.802016,-0.608872,2013-2020 period,angiosperm,Asteraceae,Helianthus,annuus,Magnoliopsida,Asterales,Asteraceae,Helianthus annuus,Helianthus,annuus,ES_Ethic,,S,A,F,E,4,,0.78,,,,,,-3.22,16,0.52,,-2.57,-3.86,S,PW,CA,0.24,0.09,,,,,,,,,,,,,,,36.20768284,0.123352,,,,,,,,,,,,,,,,,,,,4.06093549,0.017301,,,,,,,,,,,W,,,,Bordeaux,France,,,,,,,Ahmad et al. 2018,10.1111/ppl.12654,Laurent Lamarque,Uri Hochberg ,slope from PW equation; anatomy and mechanical properties data are for secondary xylem
17,44.802016,-0.608872,2013-2020 period,angiosperm,Asteraceae,Helianthus,annuus,Magnoliopsida,Asterales,Asteraceae,Helianthus annuus,Helianthus,annuus,ES_Biba,,S,A,F,E,4,,0.78,25,2014,"June, July","29th June- 9th July, late July",N,-3.01,15,0.7,,-2.29,-3.73,S,PW,CA,0.17,0.07,,,,,,,,,,,,,,,35.26391019,0.109783,,,,,,,,,,,,,,,,,,,,4.217236707,0.021787,,,,,,,,,,,W,,,,Bordeaux,France,,,,,,,Ahmad et al. 2018,10.1111/ppl.12654,Laurent Lamarque,Uri Hochberg ,slope from PW equation; anatomy and mechanical properties data are for secondary xylem
