Group,Family,Species.binomial,P50,P12,Slope,References,original.Species.binomial
Gymnosperm,Pinaceae,Abies alba,-3.79,-3.02,58.8,Lens et al. 2016,Abies alba
Gymnosperm,Pinaceae,Abies bornmuelleriana,-4,-3.1,38,Lens et al. 2016,Abies bornmuelleriana
Gymnosperm,Pinaceae,Abies grandis,-3.65,-3.24,91.2,Lens et al. 2016,Abies grandis
Gymnosperm,Pinaceae,Abies lasiocarpa,-3.62,-3.08,92,Lens et al. 2016,Abies lasiocarpa
Gymnosperm,Pinaceae,Abies pinsapo,-4.15,-3.59,67.6,Lens et al. 2016,Abies pinsapo
Angiosperm,Sapindaceae,Acer campestre,-5.74,-4.87,44,Lens et al. 2016,Acer campestre
Angiosperm,Sapindaceae,Acer monspessulanum,-6.74,-5.73,49.6,Lens et al. 2016,Acer monspessulanum
Angiosperm,Sapindaceae,Acer opalus,-4.4,-3.83,88,Lens et al. 2016,Acer opalus
Angiosperm,Sapindaceae,Acer platanoides,-4.18,-3.68,99,Lens et al. 2016,Acer platanoides
Angiosperm,Sapindaceae,Acer pseudoplatanus,-3.13,2.64,77,Lens et al. 2016,Acer pseudoplatanus
Gymnosperm,Podocarpaceae,Acmopyle pancheri,-3.06,-1.71,37,Lens et al. 2016,Acmopyle pancheri
Gymnosperm,Cupressaceae,Actinostrobus arenarius,-10.58,-8.02,14.8,Lens et al. 2016,Actinostrobus arenarius
Angiosperm,Betulaceae,Alnus cordata,-1.78,-1.62,306,Lens et al. 2016,Alnus cordata
Angiosperm,Rosaceae,Amelanchier ovalis,-6.87,-3.95,,Lens et al. 2016,Amelanchier ovalis
Gymnosperm,Araucariaceae,Araucaria hunsteinii,-4.07,-3.22,59,Lens et al. 2016,Araucaria hunsteinii
Angiosperm,Ericaceae,Arbutus unedo,-7.84,-6.93,41.6,Lens et al. 2016,Arbutus unedo
Angiosperm,Atherospermataceae,Atherosperma moschatum,-3.31,-2.63,55.5,Cochard et al unpublished,Atherosperma moschatum
Angiosperm,Betulaceae,Betula pendula,-2.01,-1.7,,Lens et al. 2016,Betula pendula
Angiosperm,Buxaceae,Buxus sempervirens,-8,-4.94,,Lens et al. 2016,Buxus sempervirens
Gymnosperm,Cupressaceae,Callitris columellaris,-15,-13,,Brodribb et al 2010 New Phytol.,Callitris columellaris
Gymnosperm,Cupressaceae,Callitris glaucophylla,-15,-11.87506524,16.00033405,Larter et al 2016,Callitris glaucophylla
Gymnosperm,Cupressaceae,Callitris gracilis,-13,-11,,Brodribb et al 2010 New Phytol.,Callitris gracilis
Gymnosperm,Cupressaceae,Callitris preissii,-14,-12,,Brodribb et al 2010 New Phytol.,Callitris preissii
Gymnosperm,Cupressaceae,Callitris rhomboidea,-10.07,-8.27,18.9,Brodribb et al 2010 New Phytol.,Callitris rhomboidea
Gymnosperm,Cupressaceae,Callitris tuberculata,-19,-15.87500119,16.00000612,Larter et al 2016,Callitris tuberculata
Angiosperm,Betulaceae,Carpinus betulus,-3.75,-3.16,64.7,Lens et al. 2016,Carpinus betulus
Gymnosperm,Pinaceae,Cedrus atlantica,-4.98,-4.11,28.8,Lens et al. 2016,Cedrus atlantica
Gymnosperm,Pinaceae,Cedrus brevifolia,-6.74,-5.1,16.78,Lens et al. 2016,Cedrus brevifolia
Gymnosperm,Pinaceae,Cedrus deodara,-7.26,-5.474285714,22,Cochard 2006,Cedrus deodara
Gymnosperm,Pinaceae,Cedrus libani,-6.62,-4.45,15.975,Lens et al. 2016,Cedrus libani
Angiosperm,Fabaceae,Ceratonia siliqua,-8.12,-7.2,41,Lens et al. 2016,Ceratonia siliqua
Angiosperm,Fabaceae,Cercis siliquastrum,-5.19,-4.51,73.3,Lens et al. 2016,Cercis siliquastrum
Angiosperm,Cistaceae,Cistus clussi,-13,-9.88,,Vilagrosa et al 2014 New Phytologist,Cistus clussi
Angiosperm,Cistaceae,Cistus monspeliensis,-10.2,-8.3,,Torres-Ruiz et al 2017 Tree Phys.,Cistus monspeliensis
Angiosperm,Cistaceae,Cistus populifolius,-8.1,-7.2,,Torres-Ruiz et al 2017 Tree Phys.,Cistus populifolius
Angiosperm,Cistaceae,Cistus psilosepalus,-6.6,-4.9,,Torres-Ruiz et al 2017 Tree Phys.,Cistus psilosepalus
Angiosperm,Cornaceae,Cornus sanguinea,-6.37,-4.89,25.8,Lens et al. 2016,Cornus sanguinea
Angiosperm,Betulaceae,Corylus avellana,-2.22,-1.97,154.3,Lens et al. 2016,Corylus avellana
Angiosperm,Rosaceae,Crataegus laevigata,-8.41,-7.22,42,Lens et al. 2016,Crataegus laevigata
Angiosperm,Rosaceae,Crataegus monogyna,-6.83,-5.4,26.6,Lens et al. 2016,Crataegus monogyna
Gymnosperm,Cupressaceae,Cupressus arizonica,-7,-5.7,,This Study Delzon et al unpublished,Cupressus arizonica
Gymnosperm,Cupressaceae,Cupressus glabra,-10.81,-7.48,15,Lens et al. 2016,Cupressus glabra
Gymnosperm,Cupressaceae,Cupressus sempervirens,-10.39,-6.81,10.6,Lens et al. 2016,Cupressus sempervirens
Angiosperm,Fabaceae,Cytisus scoparius,-3.62,-2.8,65.5,Lens et al. 2016,Cytisus scoparius
Gymnosperm,Podocarpaceae,Dacrycarpus dacrydioides,-2.29,-1.89,71.5,Brodribb & Cochard 2009/ Delzon et al . Unpub,Dacrycarpus dacrydioides
Gymnosperm,Podocarpaceae,Dacrycarpus imbricatus,-3.57,-2.5,46.8,Lens et al. 2016,Dacrycarpus imbricatus
Angiosperm,Poaceae,Dactylis glomerata,-3.48,-2.47,,Lens et al. 2016,Dactylis glomerata
Angiosperm,Winteraceae,Drimys lanceolata,-3.49,-2.99,76,Cochard et al unpublished,Drimys lanceolata
Angiosperm,Celestraceae,Euonymus europaeus,-5.14,-3.89,40,Lens et al. 2016,Euonymus europaeus
Angiosperm,Fagaceae,Fagus sylvatica,-3.15,-2.5,36.2,Lens et al. 2016,Fagus sylvatica
Angiosperm,Poaceae,Festuca arundinacea,-3.9,-2.59,,Lens et al. 2016,Festuca arundinacea
Angiosperm,Rhamnaceae,Frangula alnus,-2.92,-2.5,118.7,Lens et al. 2016,Frangula alnus
Angiosperm,Oleaceae,Fraxinus excelsior,-2.8,-2.1,63.3,Lens et al. 2016,Fraxinus excelsior
Gymnosperm,Ginkgogaceae,Ginkgo biloba,-4.62,-3.93,72,Lens et al. 2016,Ginkgo biloba
Angiosperm,Proteaceae,Hakea lissosperma,-5.66,-4.91,50.9,Lens et al 2016,Hakea lissosperma
Angiosperm,Asteraceae,Helianthus annuus,-3.05,-1.87,42.25,Lens et al. 2016,Helianthus annuus
Angiosperm,Aquifoliaceae,Ilex aquifolium,-4.804,-3.667636364,33.4,Lens et al. 2016,Ilex aquifolium
Angiosperm,Juglandaceae,Juglans regia,-2.26,-1.88,145,Lens et al. 2016,Juglans regia
Gymnosperm,Cupressaceae,Juniperus communis,-6.37,-4.37,25,Lens et al. 2016,Juniperus communis
Gymnosperm,Cupressaceae,Juniperus monosperma,-11.6,-8.475,16,Delzon et al Unpublished,Juniperus monosperma
Gymnosperm,Cupressaceae,Juniperus occidentalis,-9,-5.875,19,Delzon et al Unpublished,Juniperus occidentalis
Gymnosperm,Cupressaceae,Juniperus osteosperma,-8.57,-5.75,16.1,Lens et al. 2016,Juniperus osteosperma
Gymnosperm,Cupressaceae,Juniperus pinchotii,-14.1,-10.38,16,Lens et al. 2016,Juniperus pinchotii
Gymnosperm,Cupressaceae,Juniperus scopulorum,-9.84,-7.21,19,Lens et al. 2016,Juniperus scopulorum
Gymnosperm,Podocarpaceae,Lagarostrobos franklinii,-3.69,-2.31,27.7,Lens et al. 2016,Lagarostrobos franklinii
Gymnosperm,Pinaceae,Larix decidua,-3.81,-3.08,56.6,Lens et al. 2016,Larix decidua
Gymnosperm,Pinaceae,Larix kaempferi,-3.35,-2.43,,Lens et al. 2016,Larix kaempferi
Gymnosperm,Pinaceae,Larix occidentalis,-4.21,-3.53,74,Lens et al. 2016,Larix occidentalis
Angiosperm,Lauraceae,Laurus nobilis,-9,-7,30,Lamarque et al under review NewPhytol (Delzon Personal data),Laurus nobilis
Angiosperm,Oleaceae,Ligustrum vulgare,-9.08,-7.71,36.7,Lens et al. 2016,Ligustrum vulgare
Angiosperm,Poaceae,Lolium perenne,-3.9,-2.59,,Lens et al. 2016,Lolium perenne
Angiosperm,Proteaceae,Lomatia tinctoria,-4.97,-4.38,63.8,Lens et al. 2016,Lomatia tinctoria
Angiosperm,Caprifoliaceae,Lonicera etrusca,-5.51,-4.54,51.4,Lens et al. 2016,Lonicera etrusca
Angiosperm,Rosaceae,Malus sylvestris,-6.01,-4.78,30.9,Lens et al. 2016,Malus sylvestris
Gymnosperm,Cupressaceae,Metasequoia glyptostroboides,-2.91,-2.19,69,Cochard et al. unpublished,Metasequoia glytpstroboides
Angiosperm,Myrtaceae,Myrtus communis,-8.23,-6.99,30.7,Lens et al. 2016,Myrtus communis
Angiosperm,Oleaceae,Olea europaea,-7.2,-3.8,9.1,Lens et al. 2016,Olea europaea
Angiosperm,Oleaceae,Phillyrea angustifolia,-9.53,-8.64,43.1,Lens et al. 2016,Phillyrea angustifolia
Gymnosperm,Pinaceae,Picea abies,-3.61,-2.8,46.6,Lens et al. 2016,Picea abies
Gymnosperm,Pinaceae,Picea engelmannii,-4.18,-3.36,61,Lens et al. 2016,Picea engelmannii
Gymnosperm,Pinaceae,Picea sitchensis,-3.85,-3,44.71,Cochard 2006,Picea sitchensis
Gymnosperm,Pinaceae,Pinus albicaulis,-3.19,-2.93,189,Lens et al. 2016,Pinus albicaulis
Gymnosperm,Pinaceae,Pinus cembra,-3.3,-2.88,103.2,Lens et al. 2016,Pinus cembra
Gymnosperm,Pinaceae,Pinus contorta,-3.9,-3.6,168,Lens et al. 2016,Pinus contorta
Gymnosperm,Pinaceae,Pinus corsicana,-5,-2.86,,Lens et al. 2016,Pinus corsicana
Gymnosperm,Pinaceae,Pinus edulis,-4.03,-3.54,77.5,Lens et al. 2016,Pinus edulis
Gymnosperm,Pinaceae,Pinus flexilis,-3.71,-3.21,75.97,Cochard 2006,Pinus flexibilis
Gymnosperm,Pinaceae,Pinus halepensis,-5.14,-4.5,59.6,Lens et al. 2016,Pinus halepensis
Gymnosperm,Pinaceae,Pinus mugo,-3.75,-3.45,169,Lens et al. 2016,Pinus mugo
Gymnosperm,Pinaceae,Pinus nigra,-3,-1.75,33,Lens et al. 2016,Pinus nigra
Gymnosperm,Pinaceae,Pinus pinaster,-3.73,-3.01,69,Lens et al. 2016,Pinus pinaster
Gymnosperm,Pinaceae,Pinus pinea,-4.34,-3.78,89,Lens et al. 2016,Pinus pinea
Gymnosperm,Pinaceae,Pinus ponderosa,-3.92,-3.37,92,Lens et al. 2016,Pinus ponderosa
Gymnosperm,Pinaceae,Pinus sylvestris,-3.09,-2.62,69.3,Lens et al. 2016,Pinus sylvestris
Gymnosperm,Pinaceae,Pinus uncinata,-4.18,-3.79,96.92,Lens et al. 2016,Pinus uncinata
Angiosperm,Anacardiaceae,Pistacia lentiscus,-6.41,-5.62,48.4,Lens et al. 2016,Pistacia lentiscus
Angiosperm,Anacardiaceae,Pistacia terebinthus,-8.42,-6.42,25,Lens et al. 2016,Pistacia terebinthus
Angiosperm,Platanaceae,Platanus hybrida,-1.8,-1.65,328,Cochard et al. unpublished,Platanus hydrida
Angiosperm,Poaceae,Poa pratensis,-3.65,-2.52,,Lens et al. 2016,Poa pratensis
Angiosperm,Salicaceae,Populus nigra,-2.95,-2.27,,This study; Delzon et al unpublished,Populus nigra
Angiosperm,Salicaceae,Populus tremula,-2.6,-1.77,60,Lens et al. 2016,Populus tremula
Angiosperm,Salicaceae,Populus trichocarpa,-1.29,-0.69,106.4,Lens et al. 2016,Populus trichocarpa
Angiosperm,Rosaceae,Prunus amygdalus,-6.13,-4.94,42,Lens et al. 2016,Prunus amygdalus
Angiosperm,Rosaceae,Prunus armeniaca,-6.07,-4.85,41,Lens et al. 2016,Prunus armeniaca
Angiosperm,Rosaceae,Prunus avium,-4.76,-3.88,56.7,Lens et al. 2016,Prunus avium
Angiosperm,Rosaceae,Prunus cerasifera,-6.27,-5.6,75,Lens et al. 2016,Prunus cerasifera
Angiosperm,Rosaceae,Prunus cerasus,-4.6,-4.02,87.3,Lens et al. 2016,Prunus cerasus
Angiosperm,Rosaceae,Prunus domestica,-5.78,-5.02,66,Lens et al. 2016,Prunus domestica
Angiosperm,Rosaceae,Prunus dulcis,-6.13,,,Lens et al. 2016,Prunus dulcis
Angiosperm,Rosaceae,Prunus mahaleb,-5.55,-4.39,43,Lens et al. 2016,Prunus mahaleb
Angiosperm,Rosaceae,Prunus padus,-3.54,-3.07,105.7,Lens et al. 2016,Prunus padus
Angiosperm,Rosaceae,Prunus persica,-5.18,-3.81,27.9,Lens et al. 2016,Prunus persica
Angiosperm,Rosaceae,Prunus spinosa,-5.36,-4.4,52,Lens et al. 2016,Prunus spinosa
Gymnosperm,Pinaceae,Pseudotsuga menziesii,-4.82,-2.7,34,Lens et al. 2016,Pseudotsuga menziesii
Angiosperm,Fagaceae,Quercus ilex,-6.88,-4.3,20.4,This study; Delzon et al unpublished,Quercus ilex
Angiosperm,Fagaceae,Quercus oleoides,-4.54,-3.61,160.2,This study; Delzon et al unpublished,Quercus oleoides
Angiosperm,Fagaceae,Quercus palustris,-5.74,-3.53,26.9,This study; Delzon et al unpublished,Quercus palustris
Angiosperm,Fagaceae,Quercus petraea,-3.3,-2.5,27.1,Lens et al. 2016,Quercus petraea
Angiosperm,Fagaceae,Quercus pubescens,-4.81,-4.08,82.4,This study; Delzon et al unpublished,Quercus pubescens
Angiosperm,Fagaceae,Quercus robur,-6.88,-4.3,20.4,This study; Delzon et al unpublished,Quercus robur
Angiosperm,Fagaceae,Quercus rubra,-4.43,-2.14,24.5,This study; Delzon et al unpublished,Quercus rubra
Angiosperm,Fagaceae,Quercus suber,-5.2,-3.7,63.3,Vaz et al. 2012,Quercus suber
Angiosperm,Ranunculaceae,Ranunculus acris,-1.61,-1.4,,Lens et al. 2016,Ranunculus acris
Angiosperm,Rhamnaceae,Rhamnus alaternus,-8.09,-7.41,55.5,Lens et al. 2016,Rhamnus alaternus
Angiosperm,Rhamnaceae,Rhamnus frangula,-2.92,-2.5,90.19,Lens et al. 2016,Rhamnus frangula
Angiosperm,Rhamnaceae,Rhamnus lycioides,-8.4,-7.49,55,Lens et al. 2016,Rhamnus lycioides
Angiosperm,Grossulariaceae,Ribes alpinum,-3.57,-2.98,86,Lens et al. 2016,Ribes alpinum
Angiosperm,Lamiaceae,Rosmarinus officinalis,-9.4,-7.48,19.8,Lens et al. 2016,Rosmarinus officinalis
Angiosperm,Salicaceae,Salix alba,-1.5,-1,76,Lens et al. 2016,Salix alba
Angiosperm,Salicaceae,Salix arenaria,-2.32,-1.97,145,Lens et al. 2016,Salix arenaria
Angiosperm,Salicaceae,Salix caprea,-2.22,-1.85,,Lens et al. 2016,Salix caprea
Angiosperm,Salicaceae,Salix cinerea,-1.99,-1.64,147,Lens et al. 2016,Salix cinerea
Angiosperm,Salicaceae,Salix fragilis,-1.39,-0.97,118,Lens et al. 2016,Salix fragilis
Angiosperm,Salicaceae,Salix purpurea,-1.97,-1.72,198,Lens et al. 2016,Salix purpurea
Angiosperm,Adoxaceae,Sambucus nigra,-1.52,-1.36,323,Lens et al. 2016,Sambucus nigra
Gymnosperm,Cupressaceae,Sequoia sempervirens,-4.38,-3.22,43,Lens et al. 2016,Sequoia sempervirens
Gymnosperm,Cupressaceae,Sequoiadendron giganteum,-3.79,-3.07,69,Lens et al. 2016,Sequoiadendron giganteum
Angiosperm,Rosaceae,Sorbus aria,-5.38,-3,21,Lens et al. 2016,Sorbus aria
Angiosperm,Rosaceae,Sorbus aucuparia,-4.19,-2.65,,Lens et al. 2016,Sorbus aucuparia
Angiosperm,Rosaceae,Sorbus torminalis,-6.21,-5.34,57.8,Lens et al. 2016,Sorbus torminalis
Gymnosperm,Taxaceae,Taxus baccata,-6.97,-4.89,24,Lens et al. 2016,Taxus baccata
Gymnosperm,Taxaceae,Taxus brevifolia,-6.44,-4.77,30,Lens et al. 2016,Taxus brevifolia
Gymnosperm,Cupressaceae,Tetraclinis articulata,-13.13,-11.15,25.26,Lens et al. 2016,Tetraclinis articulata
Gymnosperm,Cupressaceae,Thuja plicata,-4.21,-2.65,32,Lens et al. 2016,Thuja plicata
Angiosperm,Tiliaceae,Tilia platyphyllos,-3.07,-2.32,,Lens et al. 2016,Tilia platyphyllos
Angiosperm,Fabaceae,Trifolium repens,-2.32,-1.91,,Lens et al. 2016,Trifolium repens
Angiosperm,Poaceae,Triticum aestivum,-3.5,-2.48,,"This study; Cochard, Delzon et al unpublished",Triticum aestivum
Angiosperm,Fabaceae,Ulex europaeus,-6.58,-5.1,33.7,Lens et al. 2016,Ulex europaeus
Angiosperm,Adoxaceae,Viburnum lantana,-7.63,-6.83,47.9,Brendel and Cochard 2011,Viburnum lantana
Angiosperm,Poaceae,Zea mays,-2.64,-1.5,39.6,Cochard 2002,Zea mays
