Species,Group,P50,Ks,paper,url,Ks_mol,relatedStudies,originalSpecies
Quercus douglasii,Angiosperm,-4.475,,Skelton et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15886,,,Quercus douglasii
Eucalyptus globulus,Angiosperm,-3.73,1.55,Barotto et al. 2018 Tree Phys,https://academic.oup.com/treephys/article/38/2/243/4644574,,,Eucalyptus globulus
Eucalyptus globulus,Angiosperm,-2.7,2.2,Barotto et al. 2018 Tree Phys,https://academic.oup.com/treephys/article/38/2/243/4644574,,,Eucalyptus globulus
Rhamnus alaternus,Angiosperm,-5.7,1.03,El Auo-ouad et al. 2017 Flora,https://www.sciencedirect.com/science/article/pii/S0367253017300063,,,Rhamnus alaternus
Rhamnus ludovici-salvatoris,Angiosperm,-3.9,0.43,El Auo-ouad et al. 2017 Flora,https://www.sciencedirect.com/science/article/pii/S0367253017300063,,,Rhamnus ludovici-salvatoris
Guatteria olivacea,Angiosperm,-2.57,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15463,,,Guatteria olivacea
Guatteria megalophylla ,Angiosperm,-2.21,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15464,,,Guatteria megalophylla 
Protium gallosum,Angiosperm,-2.54,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15465,,,Protium gallosum
Protium nitidifolium,Angiosperm,-2.91,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15466,,,Protium nitidifolium
Protium trifoliolatum,Angiosperm,-1.33,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15467,,,Protium trifoliolatum
Protium hebetatum,Angiosperm,-3.1,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15468,,,Protium hebetatum
Protium grandifolium,Angiosperm,-1.25,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15469,,,Protium grandifolium
Tetragastris panamensis ,Angiosperm,-1.83,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15470,,,Tetragastris panamensis 
Licania heteromorpha,Angiosperm,-3.33,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15471,,,Licania heteromorfa
Licania longistyla,Angiosperm,-3.11,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15472,,,Licania longistyla
Licania lata,Angiosperm,-1.71,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15473,,,Licania lata
Eperua duckeana,Angiosperm,-0.88,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15474,,,Eperua duckeana
Swartzia recurva,Angiosperm,-3.66,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15475,,,Swartzia recurva
Swartzia tomentifera,Angiosperm,-3.6,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15476,,,Swartzia tomentifera
Swartzia ulei,Angiosperm,-2.2,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15477,,,Swartzia ulei
Zygia racemosa,Angiosperm,-4.1,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15478,,,Zygia racemosa
Zygia ramiflora,Angiosperm,-1.76,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15479,,,Zygia ramiflora
Eschweilera pseudodecolorans,Angiosperm,-3.25,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15480,,,Eschweilera pseudodecolorans
Eschweilera truncata,Angiosperm,-2.45,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15481,,,Eschweilera truncata
Eschweilera coriacea,Angiosperm,-1.72,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15482,,,Eschweilera coriacea
Helianthostylis sprucei,Angiosperm,-4.04,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15483,,,Helianthostylis sprucei
Virola venosa,Angiosperm,-0.84,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15484,,,Virola venosa
Iryanthera juruensis,Angiosperm,-0.67,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15485,,,Iryanthera juruensis
Iryanthera ulei,Angiosperm,-0.56,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15486,,,Iryanthera ulei
Adiscanthus fusciflorus,Angiosperm,-1.08,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15487,,,Adiscanthus fusciflorus
