species,species_wfo,flag
Abies bornmuelleriana,Abies nordmanniana,NA
Acer ginnala,Acer tataricum,NA
Acer grandidentatum,Acer saccharum,NA
Alnus crispa,Alnus alnobetula,NA
Cedrus brevifolia,Cedrus libani,NA
Cephalotaxus wilsoniana,Cephalotaxus harringtonii,NA
Cercocarpus betuloides,Cercocarpus betuloides,NA
Chrysothamnus nauseosus,Ericameria nauseosa,NA
Cupressus glabra,Hesperocyparis glabra,NA
Fraxinus oxycarpa,Fraxinus angustifolia,NA
Myrceugenia acutata,Myrceugenia ovata,NA
Myrceugenia regnelliana,Myrceugenia ovata,NA
Nothofagus truncata,Nothofagus truncata,NA
Phyllocladus alpinus,Phyllocladus trichomanoides,NA
Pinus corsicana,Pinus nigra,NA
Pittosporum colensoi,Pittosporum colensoi,NA
Populus davidiana,Populus tremula,NA
Acer mono,Acer pictum,1
Acer pseudo-sieboldianum,Acer pseudosieboldianum,1
Acmena smithii,Syzygium smithii,1
Armeniaca sibirica,Prunus sibirica,1
Armeniaca vulgaris,Prunus armeniaca,1
Arrabidaea verrucosa,Fridericia schumanniana,1
Athanasia acerosa,Phymaspermum acerosum,1
Athrotaxis laxifolia,Athrotaxis x laxifolia,1
Austromyrtus bidwillii,Gossia bidwillii,1
Berberis heterophylla,Berberis microphylla,1
Bubbia queenslandiana,Zygogynum queenslandianum,1
Bubbia semecarpoides,Zygogynum semecarpoides,1
Callitris glaucophylla,Callitris columellaris,1
Callitris gracilis,Callitris preissii,1
Callitris intratropica,Callitris columellaris,1
Callitris tuberculata,Callitris preissii,1
Cassipourea elliptica,Cassipourea guianensis,1
Cedrella fissilis,Cedrela fissilis,1
Cephalotaxus harringtonia,Cephalotaxus harringtonii,1
Cistus clussi,Cistus clusii,1
Citrus aurantium,Citrus x aurantium,1
Coccoloba parimensis,Coccoloba excelsa,1
Cordia dentata,Cordia alba,1
Cupressocyparis leylandii,Cupressus x leylandii,1
Elymus campestris,Elymus pungens,1
Elytrigia repens,Elymus repens,1
Eschweilera coriaceae,Eschweilera coriacea,1
Eucalyptus largiflorens,Eucalyptus bicolor,1
Fuscospora fusca,Nothofagus fusca,1
Fuscospora solandri,Nothofagus solandri,1
Fuscospora truncata,Nothofagus truncata,1
Ginko biloba,Ginkgo biloba,1
Gymnocladus dioicus,Gymnocladus dioica,1
Hesperocyparis pygmaea,Cupressus goveniana,1
Hippophae rhamnoides,Elaeagnus rhamnoides,1
Iryanthera ulei,Iryanthera hostmannii,1
Juglans ailantifolia,Juglans ailanthifolia,1
Lannea coromandelic,Lannea coromandelica,1
Lecyths prancei,Lecythis prancei,1
Lophozonia menziesii,Nothofagus obliqua,1
Magnolia liliflora,Magnolia liliiflora,1
Mezilaurus itauba,Mezilaurus ita-uba,1
Miconia pohliana,Acinodendron pohlianum,1
Myrsine divaricata,Rapanea divaricata,1
Myrsine ferruginea,Myrsine coriacea,1
Olea oleaster,Olea europaea,1
Olearia avicennifolia,Olearia avicenniifolia,1
Phryganocydia corymbosa,Bignonia corymbosa,1
Picea sitkaensis,Picea sitchensis,1
Pinus caribea,Pinus caribaea,1
Piptadenia constricta,Piptadenia obliqua,1
Platanus hybrida,Platanus acerifolia,1
Podocarpus laetus,Podocarpus spinulosus,1
Populus ussuriensis,Populus suaveolens,1
Pouteria venulosa,Micropholis venulosa,1
Protium linorum,Protium llanorum,1
Prunus amygdalus,Prunus dulcis,1
Pseudopanax colensoi,Neopanax colensoi,1
Quercus humilis,Quercus incana,1
Quercus wislizenii,Quercus wislizeni,1
Retrophyllum minor,Retrophyllum minus,1
Rhamnus frangula,Frangula alnus,1
Rinorea passoura,Rinorea pubiflora,1
Rinourea passourea,Rinorea pubiflora,1
Salix arenaria,Salix helvetica,1
Salix dasyclados,Salix gmelinii,1
Schinus terebinthifolius,Schinus terebinthifolia,1
Simarouba glauca,Simarouba amara,1
Syzygiopsis oppositifolia,Pouteria oppositifolia,1
Tabebuia vellosoi,Handroanthus vellosoi,1
Taraxacum officinale,Taraxacum campylodes,1
Tasmannia insipida,Drimys insipida,1
Tasmannia purpurescens,Tasmannia purpurascens,1
Taxodium mucronatum,Taxodium huegelii,1
Tecomaria capensis,Tecoma capensis,1
Thevetia peruviana,Cascabela thevetia,1
Thuya plicata,Thuja plicata,1
Vaccinium gaultherioides,Vaccinium uliginosum,1
Vitis riparia,Vitis vulpina,1
Weinmannia racemosa,Leiospermum racemosum,1
Xanthocyparis nootkatensis,Cupressus nootkatensis,1
Zygogynum stipitatum,Exospermum stipitatum,1
Zygogynum thieghemii,Zygogynum tieghemii,1
Abies alba,Abies alba,0
Abies balsamea,Abies balsamea,0
Abies concolor,Abies concolor,0
Abies forrestii,Abies forrestii,0
Abies grandis,Abies grandis,0
Abies lasiocarpa,Abies lasiocarpa,0
Abies pinsapo,Abies pinsapo,0
Abies sachalinensis,Abies sachalinensis,0
Abies sibirica,Abies sibirica,0
Acacia aneura,Acacia aneura,0
Acacia cyclops,Acacia cyclops,0
Acca sellowiana,Acca sellowiana,0
Acer barbinerve,Acer barbinerve,0
Acer campestre,Acer campestre,0
Acer glabrum,Acer glabrum,0
Acer mandshuricum,Acer mandshuricum,0
Acer monspessulanum,Acer monspessulanum,0
Acer negundo,Acer negundo,0
Acer opalus,Acer opalus,0
Acer pictum,Acer pictum,0
Acer platanoides,Acer platanoides,0
Acer pseudoplatanus,Acer pseudoplatanus,0
Acer rubrum,Acer rubrum,0
Acer saccharum,Acer saccharum,0
Acer tegmentosum,Acer tegmentosum,0
Acmopyle pancheri,Acmopyle pancheri,0
Actinostrobus acuminatus,Actinostrobus acuminatus,0
Actinostrobus arenarius,Actinostrobus arenarius,0
Actinostrobus pyramidalis,Actinostrobus pyramidalis,0
Adenostoma fasciculatum,Adenostoma fasciculatum,0
Adenostoma sparsifolium,Adenostoma sparsifolium,0
Adesmia boronioides,Adesmia boronioides,0
Adiscanthus fusciflorus,Adiscanthus fusciflorus,0
Afrocarpus falcatus,Afrocarpus falcatus,0
Afrocarpus gracilior,Afrocarpus gracilior,0
Agathis atropurpurea,Agathis atropurpurea,0
Agathis australis,Agathis australis,0
Agathis microstachya,Agathis microstachya,0
Agathis ovata,Agathis ovata,0
Agathis robusta,Agathis robusta,0
Ailanthus altissima,Ailanthus altissima,0
Alchemilla vulgaris,Alchemilla vulgaris,0
Alnus cordata,Alnus cordata,0
Alnus glutinosa,Alnus glutinosa,0
Alnus incana,Alnus incana,0
Alnus japonica,Alnus japonica,0
Alnus rhombifolia,Alnus rhombifolia,0
Alopecurus pratensis,Alopecurus pratensis,0
