ID,Reference,Species,Synonym,Family,Growth_form,Life_span,Tissue,Seed_Cat,Leaf_strategy,Leaf_form,PS_type,Dr
0001,Abbott et al. 1991,Agropyron cristatum,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.75
0002,Abbott et al. 1991,Artemisia tridentata ssp. wyomingensis,,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,0.75
0003,Abbott et al. 1991,Chrysothamnus viscidiflorus,,Asteraceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,1
0004,Abbott et al. 1991,Elymus elymoides,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.5
0005,Abbott et al. 1991,Elymus lanceolatus,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.75
0006,Abbott et al. 1991,Leymus cinereus,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,1
0007,Adams 1967,Acacia seyal,,Fabaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,1.2
0008,Adams 1967,Balanites aegyptiaca,family: Balanitaceae,Zygophyllaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,1.3
0009,Adams 1967,Acacia mellifera,,Fabaceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,0.6
0010,Ahmet Birand 1938,Achillea wilhelmsii,Achillea santolina,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.11
0011,Ahmet Birand 1938,Ajuga chamaepitys ssp. chia,Ajuga chia,Lamiaceae,Forb,P,Herbaceous,Dicot,,,C3,0.32
0012,Ahmet Birand 1938:p. 152,Alhagi pseudalhagi,Alhagi camelorum,Fabaceae,Forb,P,Herbaceous,Dicot,,,C3,3.5
0013,Ahmet Birand 1938,Allium scorodoprasum ssp. rotundum,Allium rotundum,Amaryllidaceae,Forb,P,Herbaceous,Monocot,,,C3,0.07
0014,Ahmet Birand 1938,Alyssum linifolium,,Brassicaceae,Forb,A,Herbaceous,Dicot,,,C3,0.21
0015,Ahmet Birand 1938,Amygdalus orientalis,,Rosaceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,3
0016,Ahmet Birand 1938,Artemisia lerchiana,Artemisia fragrans,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,1.3
0017,Ahmet Birand 1938,Astragalus micropterus,,Fabaceae,Semi-shrub,P,Woody,Dicot,,,C3,1.36
0018,Ahmet Birand 1938,Consolida regalis ssp. paniculata,Delphinium paniculatum,Ranunculaceae,Forb,A,Herbaceous,Dicot,,,C3,0.45
0019,Ahmet Birand 1938,Convolvulus galaticus,,Convolvulaceae,Forb,P,Herbaceous,Dicot,,,C3,0.36
0020,Ahmet Birand 1938,Convolvulus galaticus,,Convolvulaceae,Forb,P,Herbaceous,Dicot,,,C3,1.67
0021,Ahmet Birand 1938,Crocus ancyrensis,,Iridaceae,Forb,P,Herbaceous,Monocot,,,C3,0.06
0022,Ahmet Birand 1938,Euphorbia macroclada,Euphorbia tinctoria,Euphorbiaceae,Forb,P,Herbaceous,Dicot,,,C3,3
0023,Ahmet Birand 1938,Hypecoum procumbens,,Papaveraceae,Forb,A,Herbaceous,Dicot,,,C3,0.2
0024,Ahmet Birand 1938,Iris acutiloba,,Iridaceae,Forb,P,Herbaceous,Monocot,,,C3,0.09
0025,Ahmet Birand 1938,Linum hirsutum,Linum anatolicum,Linaceae,Forb,P,Herbaceous,Dicot,,,C3,0.32
0026,Ahmet Birand 1938,Moltkia aurea,,Boraginaceae,Forb,P,Herbaceous,Dicot,,,C3,0.18
0027,Ahmet Birand 1938,Onosma montana,Onosma aucherianum,Boraginaceae,Forb,P,Herbaceous,Dicot,,,C3,0.35
0028,Ahmet Birand 1938,Peganum harmala,,Peganaceae,Forb,P,Herbaceous,Dicot,,,C3,1.4
0029,Ahmet Birand 1938:p. 152,Querucs cerris,,Fagaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,4.5
0030,Ahmet Birand 1938,Ranunculus illyricus,,Ranunculaceae,Forb,P,Herbaceous,Dicot,,,C3,0.18
0031,Ahmet Birand 1938,Salvia ceratophylla,,Lamiaceae,Forb,P,Herbaceous,Dicot,,,C3,0.43
0032,Ahmet Birand 1938,Scolymus hispanicus,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.8
0033,Ahmet Birand 1938,Silene dichotoma,,Caryophyllaceae,Forb,A,Herbaceous,Dicot,,,C3,0.17
0034,Ahmet Birand 1938,Wiedemannia orientalis,Wiedmannia orientalis,Lamiaceae,Forb,A,Herbaceous,Dicot,,,C3,0.23
0035,Albertson 1937,Ambrosia psilostachya,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,1.59
0036,Albertson 1937,Amorpha canescens,,Fabaceae,Semi-shrub,P,Woody,Dicot,,,C3,2.74
0037,Albertson 1937,Andropogon gerardi,Andropogon furcatus,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,2.13
0038,Albertson 1937,Argythamnia mercurialina,Ditaxis mercurialina,Euphorbiaceae,Semi-shrub,P,Woody,Dicot,,,C3,0.61
0039,Albertson 1937,Aristida longiseta,Aristida purpurea,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,1.75
0040,Albertson 1937,Asclepias asperula ssp. capricornu,Asclepiodora decumbens; family: Asclepiadaceae,Apocynaceae,Forb,P,Herbaceous,Dicot,,,C3,0.61
0041,Albertson 1937,Aster multiflorus,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,1.2
0042,Albertson 1937,Bouteloua curtipendula,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,1.91
0043,Albertson 1937,Bouteloua gracilis,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,0.91
0044,Albertson 1937,Bouteloua gracilis,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,1.68
0045,Albertson 1937:40,Brickellia eupatorioides,Kuhnia glutinosa,Asteraceae,Semi-shrub,P,Woody,Dicot,,broad-leaf,C3,3.35
0046,Albertson 1937:23,Brickellia eupatorioides,Kuhnia glutinosa,Asteraceae,Semi-shrub,P,Woody,Dicot,,broad-leaf,C3,4.27
0047,Albertson 1937,Buchloe dactyloides,Bulbilis dactyloides,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,1.49
0048,Albertson 1937,Carex gravida,,Cyperaceae,Grass,P,Herbaceous,Monocot,,,C3,1.88
0049,Albertson 1937,Chaetopappa ericoides,Leucelene ericoides,Asteraceae,Semi-shrub,P,Woody,Dicot,,,C3,0.61
0050,Albertson 1937,Clematis fremontii,Viorna fremontii,Ranunculaceae,Forb,P,Herbaceous,Dicot,,,C3,0.61
0051,Albertson 1937,Dalea purpurea,Petalostemon purpureum,Fabaceae,Semi-shrub,P,Woody,Dicot,,,C3,0.91
0052,Albertson 1937,Elymus canadensis,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,1.23
0053,Albertson 1937,Evolvulus nuttallianus,Evolvulus pilosus,Convolvulaceae,Semi-shrub,P,Woody,Dicot,E,broad-leaf,C3,0.65
0054,Albertson 1937,Gaura coccinea,,Onagraceae,Forb,P,Herbaceous,Dicot,,,C3,0.95
0055,Albertson 1937:p. 533,Glycyrrhiza lepidota,,Fabaceae,Forb,P,Herbaceous,Dicot,,,C3,3.66
0056,Albertson 1937,Gutierrezia sarothrae,Gutierrezia sarothrae (Pursh) Britton & Rusby,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,1.52
0057,Albertson 1937,Hedyotis nigricans,Houstonia angustifolia,Rubiaceae,Semi-shrub,P,Woody,Dicot,,broad-leaf,C3,0.61
0058,Albertson 1937,Lesquerella ovalifolia,,Brassicaceae,Forb,P,Herbaceous,Dicot,,,C3,0.65
0059,Albertson 1937,Lithospermum incisum,Lithospermum linearifolium,Boraginaceae,Forb,P,Herbaceous,Dicot,,,C3,0.64
0060,Albertson 1937,Lygodesmia juncea,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,1.38
0061,Albertson 1937,Machaeranthera pinnatifida,Sideranthus spinulosus,Asteraceae,Semi-shrub,P,Woody,Dicot,,,C3,0.75
0062,Albertson 1937,Minuartia michauxii var. texana,Arenaria texana,Caryophyllaceae,Forb,P,Herbaceous,Dicot,,,C3,0.61
0063,Albertson 1937,Mirabilis linearis,Allionia linearis,Nyctaginaceae,Forb,P,Herbaceous,Dicot,,,C3,1.29
0064,Albertson 1937,Oenothera macrocarpa ssp. fremontii,Megapterium fremontii,Onagraceae,Forb,P,Herbaceous,Dicot,,,C3,0.65
0065,Albertson 1937,Packera plattensis,Senecio plattensis,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.61
0066,Albertson 1937,Panicum virgatum,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,2.4
0067,Albertson 1937,Paronychia jamesii,,Caryophyllaceae,Semi-shrub,P,Woody,Dicot,,,C3,0.65
0068,Albertson 1937,Pascopyrum smithii,Agropyron smithii,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,2.18
0069,Albertson 1937:p. 533,Prunus pumila var. besseyi,Prunus besseyi,Rosaceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,3.35
0070,Albertson 1937,Psoralidium tenuiflorum,Psoralea tenuiflora,Fabaceae,Forb,P,Herbaceous,Dicot,,,C3,2.42
0071,Albertson 1937,Psoralidium tenuiflorum,Psoralea tenuiflora,Fabaceae,Forb,P,Herbaceous,Dicot,,,C3,2.68
0072,Albertson 1937,Ratibida columnifera,Ratibida columnaris,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.64
0073,Albertson 1937,Rhus glabra,,Anacardiaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,1.52
